species_code	species.name	family	genus	maximum_length	maximal.width	maximal_weight	body_shape	prostomium_shape	flat_tail	heart_position	heart_size	body_color	longitudinal_color_gradient	transversal_color_gradient	epidermis_thickness	epidermis_smoothness	mucus_quantity	muscle_type	septa_thickness	longitudinal_furrows	transverse_furrows	male_pores_position	setae_proximity	crop_presence	Morren_gland_presence	typhlosole_location	typhlosole_complexity	clitellum_shape	clitellum_location	clitellum_size	flat_clitellum	ovaries_position	tubercula_shape	tubercula_presence	seminal_vesicles_complexity	seminal_vesicles_location	spermathecal_pore_size	female_pore_location	spermathecal_pore_location	spermathecal_pore_area	gonad_presence	nephridiopore_distribution		
vt0082	Prosellodrilus.idealis	Lumbricidae	Prosellodrilus	90	1.5	270	cylindrique	prolobique	0	6	5	non	0	0	1	1	0	élémentaire	5	1	1	6.5	0	0	1	22.5	2	selle	19.5	8.5	1	13	cupules	1	1	13	3	14.5	15.6	B	1	alignés		
vt0083	Prosellodrilus.polythecosus	Lumbricidae	Prosellodrilus	110	3	550	cylindrique	prolobique	0	6	5	non	0	0	1	1	0	élémentaire	5	1	1	5.5	0	0	1	21	2.5	selle	20	9	0	13	gouttière	1	3	13	3	14.5	15.5	B	1	alignés		
vt0084	Prosellodrilus.elusatus	Lumbricidae	Prosellodrilus	110	3	550	cylindrique	prolobique	0	6	5	non	0	0	1	1	0	élémentaire	5	1	1	5.5	0	0	1	21	2	selle	20	9	0	13	gouttière	1	2	13	3	14.5	15.5	B	1	alignés		
vt0085	Prosellodrilus.biserialis	Lumbricidae	Prosellodrilus	110	3	550	cylindrique	prolobique	0	6	5	non	0	0	1	1	0	élémentaire	5	1	1	5.5	0	0	1	21	2	selle	20	9	0	13	gouttière	1	2	13	3	14.5	15.5	B	1	alignés		
vt0086	Prosellodrilus.biauriculatus	Lumbricidae	Prosellodrilus	55	2	250	cylindrique	prolobique	0	6	5	non	0	0	2	1	0	élémentaire	3	1	1	6.5	0	0	1	23	2	selle	19.3	9.7	1	13	auricules	1	2	14	1	14.5	15.8	B	1	alignés		
vt0087	Prosellodrilus.alatus	Lumbricidae	Prosellodrilus	60	3	370	cylindrique	absent	0	6	5	non	0	0	1	1	0	élémentaire	4	1	1	5.5	0	0	1	21	2	selle	19.67	8.33	1	13	aile	1	1	13	3	14.5	15.5	B	1	alignés		
vt0089	Allolobophora.burgondiae	Lumbricidae	Allolobophora	80	5	980	cylindrique	épilobique	0	6	5	non	0	0	3	1	0	radiaire	5	0	1	4.5	0	0	1	19	2.5	selle	28	11.5	1	13	gouttière	1	1	9	2	14.5	15.5	B	1	alignés		
vt0090	Scherotheca.albomaculata	Lumbricidae	Scherotheca	320	7	35000	cylindrique	épilobique	1	6	5	mélanisé	1	1	3	1	0	radiaire	4	1	1	12.5	0	0	1	25.5	2	selle	27	11	0	13	bande	1	2.25	11	3	14.5	15.5	B	1	solfege		
vt0093	Scherotheca.minor	Lumbricidae	Scherotheca	250	8	4000	cylindrique	épilobique	1	6	5	mélanisé	1	1	3	3	0	pennée	3	1	1	12.5	0	0	1	26	2	selle	33	11	0	13	gouttière	1	2	13	3	14.5	15.5	B	1	solfege		
vt0096	Scherotheca.chicaria	Lumbricidae	Scherotheca	630	20	86000	cylindrique	épilobique	1	6	5	mélanisé	1	1	3	3	0	radiaire	5	1	1	11.5	0	0	1	25	2	selle	32.5	21.5	0	13	bande	1	3	12	1	14.5	15.5	B	1	solfege		
vt0097	Scherotheca.thibauti	Lumbricidae	Scherotheca	1050	25	106000	cylindrique	épilobique	1	6	5	mélanisé	1	1	3	3	0	radiaire	5	1	1	11.5	0	0	1	25	2	selle	34	27	0	13	bande	1	3	13	1	14.5	15.5	B	1	solfege		
vt0098	Aporrectodea.velox	Lumbricidae	Aporrectodea	570	7	9750	cylindrique	épilobique	1	6	5	mélanisé	1	1	3	3	0	intermédiaire	3	1	1	10.5	0	0	1	23	2	selle	25	11.5	0	13	gouttière	1	1	10	1	14.5	15.5	B	1	solfege		
vt0099	Aporrectodea.gogna	Lumbricidae	Aporrectodea	380	10	8800	subtrapézoïdale	épilobique	1	6	5	mélanisé	1	1	2	3	0	pennée	6	1	1	11.5	0	0	1	23	2	selle	24	14	0	13	gouttière	1	1	10	3	14.5	15.5	B	1	alignés		
